НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR076448,4025-09-22 17:14:40,2,CR095993,4025-10-29 09:36:01,437.0
CR076461,4025-09-23 09:23:35,2,CR096443,4025-10-31 00:00:00,0.0
CR076461,4025-09-23 09:23:35,2,CR096444,4025-10-31 00:00:00,4200.0
CR076469,4025-09-23 10:34:58,2,CR095856,4025-10-27 15:51:38,93170.0
CR076469,4025-09-23 10:34:58,2,CR096123,4025-10-31 09:42:21,93594.0
CR076482,4025-09-23 13:23:37,2,CR093943,4025-09-26 13:59:11,236930.89
CR076482,4025-09-23 13:23:37,2,CR093996,4025-09-26 17:50:00,16477.64
CR076505,4025-09-23 17:47:04,2,CR099385,4025-12-12 10:08:16,193652.1
CR076505,4025-09-23 17:47:04,2,CR100631,4025-12-30 15:30:36,10108.2
CR076518,4025-09-24 01:03:12,2,CR095684,4025-10-23 13:10:37,0.0
CR076518,4025-09-24 01:03:12,2,CR095982,4025-10-28 17:18:43,200.0
CR076544,4025-09-24 10:53:02,2,CR094204,4025-09-30 17:51:34,120.0
CR076544,4025-09-24 10:53:02,2,CR094205,4025-09-30 17:51:38,2680.0
CR076547,4025-08-29 11:44:40,2,CR093763,4025-08-29 11:48:28,0.0
CR076547,4025-08-29 11:44:40,2,CR093764,4025-08-29 11:48:31,-850.0
CR076560,4025-09-24 14:09:39,2,CR102142,4026-01-28 11:20:33,1409435.99
CR076560,4025-09-24 14:09:39,2,CR102183,4026-01-28 17:50:12,1265922.0
CR076570,4025-12-01 00:00:00,2,CR101134,4026-01-07 18:23:55,36636.0
CR076570,4025-12-01 00:00:00,2,CR101135,4026-01-07 18:25:42,5963.99
CR076629,4025-09-25 14:05:54,2,CR100232,4025-12-24 13:17:09,207163.43
CR076629,4025-09-25 14:05:54,2,CR101450,4026-01-13 14:59:06,35514.8
CR076633,4025-09-25 14:52:22,2,CR094370,4025-10-02 12:08:39,101062.5
CR076633,4025-09-25 14:52:22,2,CR095399,4025-10-17 17:36:11,350.0
CR076635,4025-09-25 15:02:08,2,CR094229,4025-10-01 10:33:08,426837.27
